question_id,representation,n_seeds,mean_balanced_accuracy,std_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy
has_key,boundary_window_mean,3,0.6504268544310327,0.01700315963812575,0.6272516248839368,0.667568090374497
has_key,last_token,3,0.631442793768699,0.0029800847129896764,0.6286675951717735,0.6355772206747137
has_key,sentence_mean,3,0.6953716599607964,0.00745483370145148,0.6856275147013309,0.7037294955122253
wall_down,boundary_window_mean,3,0.4820510973442828,0.023188765012064984,0.45003421697161794,0.5042050857225184
wall_down,last_token,3,0.4811296403015896,0.03213932053292603,0.44568505978965567,0.5234926523555684
wall_down,sentence_mean,3,0.5455055707630985,0.024024789218115978,0.5242850453825098,0.5790952312346924
wall_left,boundary_window_mean,3,0.57976571256732,0.012429203538711188,0.5689575986221602,0.5971746083818585
wall_left,last_token,3,0.5724186008365456,0.017537037195768494,0.547617485442467,0.584823259247109
wall_left,sentence_mean,3,0.6439405123158096,0.004129807848806896,0.6387476420897236,0.6488518002132371
wall_right,boundary_window_mean,3,0.5462892099440323,0.018373954599897515,0.5235337758688012,0.5685318235064428
wall_right,last_token,3,0.5223662631784459,0.029346446057838066,0.4939203436157751,0.5627606403748535
wall_right,sentence_mean,3,0.6070141871664715,0.028524860172084335,0.5737992971495509,0.6434478719250293
wall_up,boundary_window_mean,3,0.48550659235692745,0.02283934572492768,0.4582741036575735,0.5141643538888513
wall_up,last_token,3,0.49281722662214095,0.016712352037029424,0.46964056048196035,0.5084162548793971
wall_up,sentence_mean,3,0.4889080680219921,0.02170431142923512,0.4645129628376092,0.5172386561068616
