question_id,direction,n_rows,greedy_accuracy,greedy_repeated_modal_accuracy,mc_yes_no_accuracy,local_gap_count,local_consistent_count,local_gap_denominator,local_belief_action_gap_rate,mc_local_gap_count,mc_local_consistent_count,mc_local_gap_denominator,mc_local_belief_action_gap_rate,greedy_astar_gap_count,greedy_astar_consistent_count,greedy_astar_gap_denominator,greedy_astar_gap_rate,mc_astar_gap_count,mc_astar_consistent_count,mc_astar_gap_denominator,mc_astar_gap_rate
wall_left,LEFT,33,0.9090909090909091,0.9090909090909091,0.9393939393939394,0,11,11,0.0,0,11,11,0.0,3,8,11,0.2727272727272727,3,8,11,0.2727272727272727
wall_right,RIGHT,33,0.9393939393939394,0.9393939393939394,0.9393939393939394,2,4,6,0.3333333333333333,2,4,6,0.3333333333333333,4,2,6,0.6666666666666666,4,2,6,0.6666666666666666
wall_up,UP,33,0.9696969696969697,0.9696969696969697,0.9696969696969697,1,9,10,0.1,1,9,10,0.1,5,5,10,0.5,5,5,10,0.5
wall_down,DOWN,33,0.9393939393939394,0.9696969696969697,1.0,0,6,6,0.0,0,6,6,0.0,2,4,6,0.3333333333333333,2,4,6,0.3333333333333333
