Outcome,Feature,n with feature,Rate with,Rate without,Difference
action_change,any_current_state_error,4753,0.09804334104775932,0.09452954048140044,0.003513800566358874
action_change,any_wall_error,4753,0.09804334104775932,0.09452954048140044,0.003513800566358874
action_change,error_wall_left,1913,0.08938839519079979,0.09970731707317074,-0.010318921882370949
action_change,error_wall_right,1610,0.1267080745341615,0.08806190125276345,0.03864617328139805
action_change,error_wall_up,691,0.10274963820549927,0.09626595241846542,0.006483685787033858
action_change,error_wall_down,2509,0.08967716221602232,0.10090527710311327,-0.011228114887090954
action_change,error_has_key,24,0.08333333333333333,0.09694895922440833,-0.013615625891074998
action_change,error_door_open,0,,0.09690252912759306,
action_change,chosen_wall_error,361,0.19113573407202217,0.0918076980679946,0.09932803600402756
action_change,chosen_wall_reports_blocked,1,1.0,0.0967741935483871,0.9032258064516129
action_change,chosen_effect_error,359,0.18662952646239556,0.09207965264261117,0.09454987381978439
action_change,chosen_effect_reports_hit,19,0.3684210526315789,0.09616754523436387,0.27225350739721504
action_change,belief_action_conflict,19,0.3684210526315789,0.09616754523436387,0.27225350739721504
action_change,any_hit_wall_after_error,7038,0.09690252912759306,,
action_change,any_has_key_after_error,7038,0.09690252912759306,,
action_change,any_door_open_after_error,7038,0.09690252912759306,,
optimal_to_suboptimal,any_current_state_error,4753,0.01998737639385651,0.02888402625820569,-0.008896649864349179
optimal_to_suboptimal,any_wall_error,4753,0.01998737639385651,0.02888402625820569,-0.008896649864349179
optimal_to_suboptimal,error_wall_left,1913,0.020386826973340304,0.023804878048780488,-0.0034180510754401837
optimal_to_suboptimal,error_wall_right,1610,0.02546583850931677,0.02210759027266028,0.0033582482366564907
optimal_to_suboptimal,error_wall_up,691,0.0361794500723589,0.021427446037498032,0.014752004034860867
optimal_to_suboptimal,error_wall_down,2509,0.016739736946990835,0.02627511591962906,-0.009535378972638224
optimal_to_suboptimal,error_has_key,24,0.0,0.022954091816367265,-0.022954091816367265
optimal_to_suboptimal,error_door_open,0,,0.02287581699346405,
optimal_to_suboptimal,chosen_wall_error,361,0.00554016620498615,0.023813089710948032,-0.018272923505961883
optimal_to_suboptimal,chosen_wall_reports_blocked,1,0.0,0.022879067784567286,-0.022879067784567286
optimal_to_suboptimal,chosen_effect_error,359,0.0,0.024105405000748616,-0.024105405000748616
optimal_to_suboptimal,chosen_effect_reports_hit,19,0.0,0.022937740418863085,-0.022937740418863085
optimal_to_suboptimal,belief_action_conflict,19,0.0,0.022937740418863085,-0.022937740418863085
optimal_to_suboptimal,any_hit_wall_after_error,7038,0.02287581699346405,,
optimal_to_suboptimal,any_has_key_after_error,7038,0.02287581699346405,,
optimal_to_suboptimal,any_door_open_after_error,7038,0.02287581699346405,,
sustained_optimal_to_suboptimal,any_current_state_error,4753,0.01367557332211235,0.02188183807439825,-0.008206264752285898
sustained_optimal_to_suboptimal,any_wall_error,4753,0.01367557332211235,0.02188183807439825,-0.008206264752285898
sustained_optimal_to_suboptimal,error_wall_left,1913,0.014113957135389441,0.017170731707317075,-0.0030567745719276337
sustained_optimal_to_suboptimal,error_wall_right,1610,0.018012422360248446,0.015843773028739867,0.002168649331508579
sustained_optimal_to_suboptimal,error_wall_up,691,0.024602026049204053,0.01544036552702064,0.009161660522183413
sustained_optimal_to_suboptimal,error_wall_down,2509,0.012355520127540853,0.01854714064914992,-0.0061916205216090685
sustained_optimal_to_suboptimal,error_has_key,24,0.0,0.01639577986883376,-0.01639577986883376
sustained_optimal_to_suboptimal,error_door_open,0,,0.016339869281045753,
sustained_optimal_to_suboptimal,chosen_wall_error,361,0.002770083102493075,0.017073536019170287,-0.014303452916677213
sustained_optimal_to_suboptimal,chosen_wall_reports_blocked,1,0.0,0.01634219127469092,-0.01634219127469092
sustained_optimal_to_suboptimal,chosen_effect_error,359,0.0,0.017218146429106154,-0.017218146429106154
sustained_optimal_to_suboptimal,chosen_effect_reports_hit,19,0.0,0.01638410029918792,-0.01638410029918792
sustained_optimal_to_suboptimal,belief_action_conflict,19,0.0,0.01638410029918792,-0.01638410029918792
sustained_optimal_to_suboptimal,any_hit_wall_after_error,7038,0.016339869281045753,,
sustained_optimal_to_suboptimal,any_has_key_after_error,7038,0.016339869281045753,,
sustained_optimal_to_suboptimal,any_door_open_after_error,7038,0.016339869281045753,,
suboptimal_to_optimal,any_current_state_error,4753,0.023143277929728593,0.03150984682713348,-0.008366568897404888
suboptimal_to_optimal,any_wall_error,4753,0.023143277929728593,0.03150984682713348,-0.008366568897404888
suboptimal_to_optimal,error_wall_left,1913,0.021432305279665446,0.02751219512195122,-0.006079889842285774
suboptimal_to_optimal,error_wall_right,1610,0.030434782608695653,0.024502579218865145,0.005932203389830509
suboptimal_to_optimal,error_wall_up,691,0.0361794500723589,0.024736095793288167,0.011443354279070731
suboptimal_to_optimal,error_wall_down,2509,0.01992825827022718,0.02914550673437845,-0.009217248464151267
suboptimal_to_optimal,error_has_key,24,0.0,0.02594810379241517,-0.02594810379241517
suboptimal_to_optimal,error_door_open,0,,0.025859619210002842,
suboptimal_to_optimal,chosen_wall_error,361,0.11634349030470914,0.020967500374419648,0.09537598993028949
suboptimal_to_optimal,chosen_wall_reports_blocked,1,0.0,0.025863294017336932,-0.025863294017336932
suboptimal_to_optimal,chosen_effect_error,359,0.116991643454039,0.020961221739781405,0.09603042171425759
suboptimal_to_optimal,chosen_effect_reports_hit,19,0.0,0.025929619603932183,-0.025929619603932183
suboptimal_to_optimal,belief_action_conflict,19,0.0,0.025929619603932183,-0.025929619603932183
suboptimal_to_optimal,any_hit_wall_after_error,7038,0.025859619210002842,,
suboptimal_to_optimal,any_has_key_after_error,7038,0.025859619210002842,,
suboptimal_to_optimal,any_door_open_after_error,7038,0.025859619210002842,,
commitment_onset,any_current_state_error,4753,0.006942983378918578,0.00525164113785558,0.0016913422410629979
commitment_onset,any_wall_error,4753,0.006942983378918578,0.00525164113785558,0.0016913422410629979
commitment_onset,error_wall_left,1913,0.006795608991113434,0.006243902439024391,0.0005517065520890437
commitment_onset,error_wall_right,1610,0.007453416149068323,0.006079587324981577,0.0013738288240867456
commitment_onset,error_wall_up,691,0.008683068017366137,0.006144635260753112,0.002538432756613025
commitment_onset,error_wall_down,2509,0.005579912315663611,0.006844778096710091,-0.0012648657810464797
commitment_onset,error_has_key,24,0.0,0.00641573994867408,-0.00641573994867408
commitment_onset,error_door_open,0,,0.00639386189258312,
commitment_onset,chosen_wall_error,361,0.01662049861495845,0.005840946532874045,0.010779552082084405
commitment_onset,chosen_wall_reports_blocked,1,1.0,0.00625266448770783,0.9937473355122922
commitment_onset,chosen_effect_error,359,0.016713091922005572,0.005839197484653391,0.01087389443735218
commitment_onset,chosen_effect_reports_hit,19,0.05263157894736842,0.006268699244906682,0.04636287970246174
commitment_onset,belief_action_conflict,19,0.05263157894736842,0.006268699244906682,0.04636287970246174
commitment_onset,any_hit_wall_after_error,7038,0.00639386189258312,,
commitment_onset,any_has_key_after_error,7038,0.00639386189258312,,
commitment_onset,any_door_open_after_error,7038,0.00639386189258312,,
