event_family,n_events,mean_delta_action_entropy_bits,median_delta_action_entropy_bits,delta_action_entropy_ci_low,delta_action_entropy_ci_high,mean_delta_action_confidence,median_delta_action_confidence,delta_action_confidence_ci_low,delta_action_confidence_ci_high
action_change,682,-0.023764448258182788,0.002698838074732257,-0.054903236738034794,0.010117049232650655,0.005623876305619294,-0.00013741850852966309,-0.00937133121394342,0.020980104049148796
optimal_to_suboptimal,161,0.03959073271937992,0.029664169450026603,-0.023455753006844545,0.10161742953985446,-0.018169104127410036,-0.013236910104751587,-0.04786573032507244,0.012881776986655226
sustained_optimal_to_suboptimal,115,0.03647778734069499,0.03285322354961839,-0.03555343287047378,0.10838565171186777,-0.01288229019745536,-0.011195361614227295,-0.04901551139743432,0.02244930917154186
suboptimal_to_optimal,182,-0.11625625542727104,0.0018456837539205795,-0.1951999506323893,-0.03821907333667485,0.03964365969647418,0.0037350952625275213,0.005732159934692327,0.0737282669601532
commitment_onset,45,-0.2449760305524182,-0.17648232424359578,-0.38606850901419265,-0.09380429306241693,0.10538523660765756,0.0663469433784486,0.044720649868249904,0.16546496732367413
