group,n_states,mean_commitment_sentence_index,median_commitment_sentence_index,commitment_sentence_ci_low,commitment_sentence_ci_high,mean_commitment_progress,median_commitment_progress,commitment_progress_ci_low,commitment_progress_ci_high,mean_total_sentence_prefixes,max_total_sentence_prefixes
all,46,113.6086956521739,109.0,93.57989130434783,135.19565217391303,0.7235306035850352,0.8055653860069997,0.6423345337935238,0.7967864238267228,154.0,366
failure,23,129.91304347826087,114.0,98.56521739130434,164.47934782608695,0.7702386980377259,0.809829558720523,0.6780798172508105,0.8544603121829698,160.34782608695653,339
control,23,97.30434782608695,106.0,73.12934782608696,122.79021739130431,0.6768225091323444,0.7756556010307716,0.5429344307564858,0.7983193104331224,147.65217391304347,366
