example_id,trajectory_id,step_index,failure_category,trajectory_group,layer,representation_kind,wrong_turn_step_majority,wrong_turn_progress_majority,pre_window_size,aligned_change_at_wrong_turn,aligned_change_previous_3_mean,aligned_change_delta_at_wrong_turn,update_norm_at_wrong_turn,update_norm_previous_3_mean,update_norm_delta_at_wrong_turn,adjacent_step_cosine_at_wrong_turn,adjacent_step_cosine_previous_3_mean,adjacent_step_cosine_delta_at_wrong_turn,optimality_anchor_cosine_at_wrong_turn,optimality_anchor_cosine_previous_3_mean,optimality_anchor_cosine_delta_at_wrong_turn
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,0,avoidable_detour,recover,8,last_token,14,0.5384615384615384,3,-0.023720321234467826,0.009427364910250239,-0.033147686144718067,471.0370613488272,384.355684435387,86.6813769134402,0.7029975852767333,0.7958114938466204,-0.09281390856988714,0.8339266623772864,0.8342912023449465,-0.00036453996766006025
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,0,avoidable_detour,recover,8,mean_pool,14,0.5384615384615384,3,-0.15994671838000063,0.03654994144100397,-0.19649665982100462,187.83596974197195,170.01579073982438,17.82017900214757,0.942282405703561,0.9542152507045358,-0.011932845000974801,0.9626297088978353,0.9580775416688071,0.004552167229028181
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,0,avoidable_detour,recover,15,last_token,14,0.5384615384615384,3,-0.0009230296215716716,0.008708220227244538,-0.00963124984881621,1913.4269160340407,1652.1540670140002,261.27284902004044,0.7482098267549713,0.8145125663195675,-0.0663027395645962,0.8389335575576761,0.8733650334983953,-0.03443147594071927
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,0,avoidable_detour,recover,15,mean_pool,14,0.5384615384615384,3,0.004224761620888672,0.007169392224797298,-0.0029446306039086264,661.5316097361244,641.4287507577311,20.10285897839333,0.9664043848370095,0.9683118444693907,-0.0019074596323811477,0.9694107981193492,0.9681153333674476,0.001295464751901565
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,0,avoidable_detour,recover,23,last_token,14,0.5384615384615384,3,0.17479140576467123,8.424952934854221e-05,0.17470715623532268,16382.378131409327,10198.676099370101,6183.702032039226,0.8823800775878008,0.9396365001760162,-0.057256422588215394,0.9314843989098641,0.9294116189094841,0.0020727800003800256
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,0,avoidable_detour,recover,23,mean_pool,14,0.5384615384615384,3,-0.03488839072470344,0.023422874759077367,-0.05831126548378081,4553.8411303551175,4790.376303297456,-236.53517294233825,0.9875613072199497,0.9851228120317703,0.0024384951881794015,0.9848390564295406,0.9842337292607158,0.0006053271688247763
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,7,backtrack,recover,8,last_token,5,0.15625,3,-0.063713523418393,0.03315468176644568,-0.09686820518483868,585.1927914456094,688.3501826589305,-103.15739121332115,0.6597321146622902,0.5652692342019818,0.09446288046030837,0.823912960234647,0.796019415951912,0.02789354428273505
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,7,backtrack,recover,8,mean_pool,5,0.15625,3,0.046527183203383386,0.033182297457137744,0.013344885746245642,329.57592340765456,279.65750090389986,49.9184225037547,0.8656463621218282,0.8940466093971183,-0.028400247275290114,0.8769804588730608,0.96153706726126,-0.08455660838819923
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,7,backtrack,recover,15,last_token,5,0.15625,3,-0.05183305562853618,0.006555438027587269,-0.05838849365612345,2319.9258285636247,2428.794122647339,-108.86829408371432,0.7490182511507756,0.7001793570959762,0.04883889405479935,0.8553592891110487,0.8393400775930594,0.01601921151798935
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,7,backtrack,recover,15,mean_pool,5,0.15625,3,-0.03524427226146154,0.03844594699866973,-0.07369021926013128,1192.9630709541725,973.1312372683484,219.8318336858241,0.9139229319539895,0.9336444664225095,-0.019721534468519986,0.9155251601969054,0.97125734108048,-0.05573218088357457
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,7,backtrack,recover,23,last_token,5,0.15625,3,0.04959790044314594,0.05838910564617217,-0.008791205203026231,13882.15700009314,16556.01745999418,-2673.8604599010378,0.8756180483840738,0.8154910049127313,0.060127043471342456,0.9137688918990776,0.9110424744392501,0.0027264174598274904
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,7,backtrack,recover,23,mean_pool,5,0.15625,3,0.13058755539066266,0.00774204908144573,0.12284550630921694,8623.706753520417,8989.278227662106,-365.57147414168867,0.9536332629345459,0.9453703760775282,0.008262886857017704,0.9535429706754797,0.974496096052682,-0.020953125377202286
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,10,none,recover,8,last_token,1,0.03333333333333333,1,0.625692460352015,,,871.0989960202025,,,0.4026013079051183,,,0.6165604471617536,0.9254930506383167,-0.30893260347656304
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,10,none,recover,8,mean_pool,1,0.03333333333333333,1,0.9012112540585375,,,642.3764353676017,,,0.5942937079364338,,,0.8433969264311658,0.9299185587006783,-0.08652163226951248
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,10,none,recover,15,last_token,1,0.03333333333333333,1,0.6154055270704535,,,3015.857644247825,,,0.6225049519007736,,,0.7795739379408776,0.9450668860057398,-0.16549294806486226
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,10,none,recover,15,mean_pool,1,0.03333333333333333,1,0.8872575227370291,,,2340.5226454141757,,,0.7362578977391738,,,0.9031724278083674,0.9529749610862209,-0.049802533277853556
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,10,none,recover,23,last_token,1,0.03333333333333333,1,0.38458371481240755,,,18350.544821278392,,,0.7480813068219775,,,0.8379373200057144,0.9711167239192875,-0.13317940391357308
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,10,none,recover,23,mean_pool,1,0.03333333333333333,1,0.8812826824629253,,,14226.337422400291,,,0.8440262582270153,,,0.9561171224161537,0.9618396934063513,-0.005722570990197684
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,16,wall_hit,recover,8,last_token,3,0.09375,3,-0.035968912049187805,0.2869387052342313,-0.3229076172834191,189.07722976115784,569.464193600958,-380.38696383980016,0.9545360280484398,0.6334074611882876,0.32112856686015223,0.8413883041856749,0.8357839404200158,0.005604363765659093
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,16,wall_hit,recover,8,mean_pool,3,0.09375,3,0.018719255099309853,0.5164730415187533,-0.49775378641944346,110.83839873745059,434.4578636116026,-323.619464874152,0.9829951041878461,0.7655719182350589,0.2174231859527872,0.9788695755852617,0.922795174491236,0.05607440109402562
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,16,wall_hit,recover,15,last_token,3,0.09375,3,-0.003233646011208703,0.29152053813475054,-0.2947541841459592,1079.8553935515445,2158.8262691026202,-1078.9708755510758,0.9255789294762007,0.7325860775043704,0.19299285197183025,0.8886469415279427,0.884022510065929,0.004624431462013634
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,16,wall_hit,recover,15,mean_pool,3,0.09375,3,0.008331363000434142,0.5475860099662576,-0.5392546469658235,431.2127222791463,1583.9802675679748,-1152.7675452888284,0.985608777256017,0.8462911831066713,0.13931759414934575,0.9836227767277701,0.9485584480958381,0.035064328631931985
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,16,wall_hit,recover,23,last_token,3,0.09375,3,0.1545451706426668,0.22636951584004172,-0.07182434519737493,11079.590626802035,15205.809295575538,-4126.218668773503,0.9466837828947645,0.8305952953206712,0.11608848757409329,0.9348022154507984,0.9193490476418075,0.015453167808990975
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_016,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,16,wall_hit,recover,23,mean_pool,3,0.09375,3,-0.02256143871091971,0.5067769085912777,-0.5293383473021974,2860.5601569865594,10434.408262073877,-7573.848105087318,0.9937018873860872,0.9044711513457997,0.08923073604028753,0.9844020789149103,0.9689557891945412,0.0154462897203691
