question_id,representation,n_positions,n_states,accuracy,balanced_accuracy,positive_state_fraction
has_key,boundary_window_mean,719,24,0.627260083449235,0.6272516248839368,0.5
has_key,last_token,719,24,0.6300417246175244,0.63008356545961,0.5
has_key,sentence_mean,719,24,0.7037552155771906,0.7037294955122253,0.5
wall_down,boundary_window_mean,719,24,0.541029207232267,0.45003421697161794,0.125
wall_down,last_token,719,24,0.5577190542420027,0.47421120875954476,0.125
wall_down,sentence_mean,719,24,0.5924895688456189,0.5331364356720933,0.125
wall_left,boundary_window_mean,719,24,0.5827538247566064,0.5689575986221602,0.375
wall_left,last_token,719,24,0.5632823365785814,0.547617485442467,0.375
wall_left,sentence_mean,719,24,0.6578581363004172,0.6387476420897236,0.375
wall_right,boundary_window_mean,719,24,0.5493741307371349,0.5468020304568528,0.4583333333333333
wall_right,last_token,719,24,0.49791376912378305,0.4939203436157751,0.4583333333333333
wall_right,sentence_mean,719,24,0.6091794158553546,0.603795392424834,0.4583333333333333
wall_up,boundary_window_mean,719,24,0.5271210013908206,0.4582741036575735,0.20833333333333334
wall_up,last_token,719,24,0.5271210013908206,0.46964056048196035,0.20833333333333334
wall_up,sentence_mean,719,24,0.5368567454798331,0.48497258512150543,0.20833333333333334
