transition_family,model_type,n_trajectories,n_rows,n_positive,positive_rate,roc_auc,brier_score,log_loss,roc_auc_ci_low,roc_auc_ci_high,brier_score_ci_low,brier_score_ci_high,log_loss_ci_low,log_loss_ci_high
optimal_to_suboptimal,prevalence_baseline,1,624,12,0.019230769230769232,0.5,0.01886094674556213,0.09503011725564635,0.5,0.5,0.01886094674556213,0.01886094674556213,0.09503011725564635,0.09503011725564635
suboptimal_to_optimal,prevalence_baseline,1,20,14,0.7,0.5,0.21000000000000002,0.6108643020548935,0.5,0.5,0.21000000000000002,0.21000000000000002,0.6108643020548935,0.6108643020548935
