model_name,outcome,term,coefficient,std_error,ci_95_low,ci_95_high,z_value,p_value,odds_ratio,odds_ratio_ci_95_low,odds_ratio_ci_95_high,n,events,non_events,converged,model_warning
action_change_next_main,action_change_next,Intercept,-1.3179677508799952,0.23710823482300966,-1.782699891133094,-0.8532356106268962,-5.558506864444405,2.720922592412298e-08,0.26767873946134396,0.16818345671378446,0.42603421858281637,653,61,592,True,
action_change_next_main,action_change_next,reasoning_progress,-3.3732330990215935,0.6846333110556393,-4.715114388690647,-2.0313518093525404,-4.927065400630871,8.347382096205228e-07,0.03427863178330299,0.008958841218147799,0.13115810050914162,653,61,592,True,
action_change_next_main,action_change_next,action_entropy_bits,18482.590024471934,29735.60753997832,-39799.20075388557,76764.38080282944,0.621564230682788,0.5342284472737289,,,,653,61,592,True,
action_change_next_main,action_change_next,state_belief_entropy_per_0p01_bits,-0.26477930395842486,0.5012681840225354,-1.2472649446425943,0.7177063367257445,-0.5282188505036283,0.5973474472888987,0.7673752879775143,0.2872894759209484,2.049726432584697,653,61,592,True,
action_change_next_main,action_change_next,primary_belief_error_rate,-0.3694285582989953,1.2103961238324863,-2.741804961010668,2.002947844412678,-0.3052129389916343,0.7602039783951933,0.6911291578378158,0.06445390505268489,7.410870022897261,653,61,592,True,
action_change_next_main,action_change_next,chosen_action_conflicts_with_reported_state,1.1202108042979377,0.35133794017469455,0.43158844155553644,1.808833167040339,3.188413991785058,0.0014305556046825382,3.0655003558350824,1.5397013076705373,6.103321718835503,653,61,592,True,
optimality_loss_next_compact,optimality_loss_next,Intercept,-3.808855230333257,0.5655032642453338,-4.917241628254111,-2.7004688324124024,-6.735337302457817,1.6355007914590173e-11,0.02217354803858794,0.007319292356772231,0.0671740120019457,653,12,641,True,
optimality_loss_next_compact,optimality_loss_next,reasoning_progress,-0.3565845172883524,1.1088730222533478,-2.529975640904914,1.8168066063282091,-0.32157380523491746,0.7477755909608721,0.7000633015172949,0.07966096073118129,6.1521807122702965,653,12,641,True,
optimality_loss_next_compact,optimality_loss_next,action_entropy_bits,-6307.4809346427055,57200.30732797194,-118420.0832974677,105805.12142818229,-0.11027005324424609,0.9121952064508324,,,,653,12,641,True,
optimality_loss_next_compact,optimality_loss_next,state_belief_entropy_per_0p01_bits,-0.04966497514241753,0.47888495900316225,-0.9882794947886155,0.8889495445037805,-0.10370961586640598,0.9173997954508365,0.9515481633929302,0.37221654093009177,2.432572999023479,653,12,641,True,
optimality_loss_next_compact,optimality_loss_next,primary_belief_error_rate,0.06709931502657401,2.21580407810122,-4.275876678051817,4.4100753081049655,0.03028215160794954,0.9758420309985235,1.0694016805570896,0.013899857675760718,82.2756592948884,653,12,641,True,
optimality_recovery_next_compact,optimality_recovery_next,Intercept,-3.0832167510840516,0.4755731007634755,-4.0153400285804635,-2.1510934735876397,-6.483160519664207,8.982084520774217e-11,0.04581165468705757,0.01803682047346685,0.11635685503736747,653,15,638,True,
optimality_recovery_next_compact,optimality_recovery_next,reasoning_progress,-1.5214920189972576,1.0814088219147975,-3.6410533099502604,0.5980692719557454,-1.4069535851420432,0.15944115249910829,0.21838580798045715,0.026224706668446545,1.8186041785039433,653,15,638,True,
optimality_recovery_next_compact,optimality_recovery_next,action_entropy_bits,-955957.5626571683,1860743.4976088563,-4603014.817970526,2691099.69265619,-0.5137503174863269,0.6074265675038232,,,,653,15,638,True,
optimality_recovery_next_compact,optimality_recovery_next,state_belief_entropy_per_0p01_bits,-0.1663108580473322,0.7335946530293006,-1.6041563779847614,1.271534661890097,-0.2267067478757776,0.8206517796820574,0.8467829639729922,0.2010591012678503,3.5663214624621515,653,15,638,True,
optimality_recovery_next_compact,optimality_recovery_next,primary_belief_error_rate,0.7451149187578954,2.0401242396776067,-3.2535285910102134,4.743758428526005,0.365230167980183,0.7149396006599622,2.106683518523718,0.03863763061481843,114.86510369808634,653,15,638,True,
