analysis unit,states,prefixes,action changes,optimal to suboptimal,sustained optimal to suboptimal,suboptimal to optimal,commitments,belief probes,activation-backed prefixes
Sentences,8,662,61,12,3,15,8,8606,654
Packed prefixes,8,257,26,6,1,9,8,3341,not used
