question_id,representation,n_positions,n_states,accuracy,balanced_accuracy,positive_state_fraction
has_key,boundary_window_mean,719,24,0.6675938803894298,0.667568090374497,0.5
has_key,last_token,719,24,0.6286509040333796,0.6286675951717735,0.5
has_key,sentence_mean,719,24,0.6968011126564673,0.6967579696688332,0.5
wall_down,boundary_window_mean,719,24,0.5716272600834492,0.491913989338712,0.125
wall_down,last_token,719,24,0.5841446453407511,0.5234926523555684,0.125
wall_down,sentence_mean,719,24,0.6731571627260083,0.5790952312346924,0.125
wall_left,boundary_window_mean,719,24,0.5827538247566064,0.5731649306979414,0.375
wall_left,last_token,719,24,0.5910987482614742,0.5848150578200607,0.375
wall_left,sentence_mean,719,24,0.6634214186369958,0.6488518002132371,0.375
wall_right,boundary_window_mean,719,24,0.5271210013908206,0.5235337758688012,0.4583333333333333
wall_right,last_token,719,24,0.5159944367176634,0.5104178055447091,0.4583333333333333
wall_right,sentence_mean,719,24,0.5771905424200278,0.5737992971495509,0.4583333333333333
wall_up,boundary_window_mean,719,24,0.564673157162726,0.5141643538888513,0.20833333333333334
wall_up,last_token,719,24,0.5521557719054242,0.5084162548793971,0.20833333333333334
wall_up,sentence_mean,719,24,0.5368567454798331,0.4645129628376092,0.20833333333333334
