reasoning_reveal_pct,n_rows,blackbox_wall_accuracy,mean_blackbox_entropy,wall_greedy_modal_accuracy,wall_greedy_mean_agreement_rate,wall_mc_modal_accuracy,wall_mc_mean_entropy,wall_mc_mean_agreement_rate,action_greedy_modal_optimality_rate,action_greedy_mean_agreement_rate,action_mc_modal_optimality_rate,action_mc_mean_entropy,action_mc_mean_agreement_rate,local_belief_action_gap_count,local_belief_action_gap_denominator,local_belief_action_gap_rate,astar_conditioned_gap_count,astar_conditioned_gap_denominator,astar_conditioned_gap_rate,mc_local_belief_action_gap_count,mc_local_belief_action_gap_denominator,mc_local_belief_action_gap_rate,mc_astar_conditioned_gap_count,mc_astar_conditioned_gap_denominator,mc_astar_conditioned_gap_rate
0,64,0.9375,9.680751818069322e-07,0.890625,0.9984375,0.953125,0.1444421038363212,0.9515625,0.875,0.86875,0.8125,0.7142644720770842,0.75625,1,16,0.0625,2,16,0.125,1,16,0.0625,2,15,0.13333333333333333
25,64,0.984375,0.0003348393102437836,0.96875,1.0,1.0,0.11325319761336454,0.96875,0.9375,0.90625,0.9375,0.41277177859253744,0.8875,0,16,0.0,1,16,0.0625,0,16,0.0,1,16,0.0625
50,64,1.0,0.00414010899940092,0.984375,0.9921875,0.96875,0.164883264244183,0.9515625,0.8125,0.8875,0.875,0.3910800599236675,0.89375,1,16,0.0625,3,16,0.1875,1,16,0.0625,2,16,0.125
75,64,0.984375,0.013244223386354137,0.984375,0.9890625,0.953125,0.16364720412287206,0.953125,0.75,0.95625,0.8125,0.2195100484844555,0.93125,2,16,0.125,4,16,0.25,2,16,0.125,3,16,0.1875
100,64,1.0,0.040127567587949366,0.953125,0.984375,0.96875,0.12995403165255667,0.96875,0.75,1.0,0.75,1.6017132519074586e-16,1.0,2,16,0.125,4,16,0.25,2,16,0.125,4,16,0.25
