event_family,candidate_chain,n_events_with_chain,event_coverage,n_occurrences
optimal_to_suboptimal,hit_wall_after_up+wall_down -> door_open,1,0.007751937984496124,1
suboptimal_to_optimal,door_open -> wall_down -> door_open+hit_wall_after_up,1,0.007407407407407408,1
suboptimal_to_optimal,hit_wall_after_down+wall_down -> hit_wall_after_up,1,0.007407407407407408,1
optimal_to_suboptimal,wall_down -> door_open+wall_down -> hit_wall_after_left,1,0.007751937984496124,1
optimal_to_suboptimal,hit_wall_after_left -> hit_wall_after_down -> wall_down,1,0.007751937984496124,1
suboptimal_to_optimal,wall_down -> hit_wall_after_up,1,0.007407407407407408,1
optimal_to_suboptimal,door_open -> hit_wall_after_up -> wall_down,1,0.007751937984496124,1
suboptimal_to_optimal,hit_wall_after_left -> wall_down -> hit_wall_after_up,1,0.007407407407407408,1
suboptimal_to_optimal,hit_wall_after_left -> hit_wall_after_right,1,0.007407407407407408,1
optimal_to_suboptimal,has_key -> hit_wall_after_left -> door_open_after_up+has_key+has_key_after_up,1,0.007751937984496124,1
suboptimal_to_optimal,door_open -> has_key -> hit_wall_after_left,1,0.007407407407407408,1
optimal_to_suboptimal,hit_wall_after_left -> door_open_after_up+has_key+has_key_after_up,1,0.007751937984496124,1
suboptimal_to_optimal,door_open_after_up -> door_open,1,0.007407407407407408,1
optimal_to_suboptimal,door_open -> hit_wall_after_left -> door_open,1,0.007751937984496124,1
suboptimal_to_optimal,door_open -> door_open -> hit_wall_after_left,1,0.007407407407407408,1
suboptimal_to_optimal,has_key_after_right -> door_open+hit_wall_after_right -> has_key,1,0.007407407407407408,1
optimal_to_suboptimal,has_key -> door_open+has_key,1,0.007751937984496124,1
optimal_to_suboptimal,door_open -> hit_wall_after_right,1,0.007751937984496124,1
suboptimal_to_optimal,hit_wall_after_right -> hit_wall_after_left -> agent_location+door_open,1,0.007407407407407408,1
optimal_to_suboptimal,agent_location -> door_open,1,0.007751937984496124,1
suboptimal_to_optimal,agent_location+door_open -> door_open,1,0.007407407407407408,1
optimal_to_suboptimal,hit_wall_after_right -> goal_location -> hit_wall_after_left,1,0.007751937984496124,1
suboptimal_to_optimal,goal_location -> hit_wall_after_left -> agent_location,1,0.007407407407407408,1
optimal_to_suboptimal,hit_wall_after_left -> agent_location+hit_wall_after_left,1,0.007751937984496124,1
suboptimal_to_optimal,hit_wall_after_left -> agent_location -> agent_location+hit_wall_after_up,1,0.007407407407407408,1
optimal_to_suboptimal,agent_location+hit_wall_after_left -> goal_location,1,0.007751937984496124,1
suboptimal_to_optimal,agent_location+hit_wall_after_up -> goal_location,1,0.007407407407407408,1
optimal_to_suboptimal,door_open+hit_wall_after_down -> has_key_after_down,1,0.007751937984496124,1
suboptimal_to_optimal,door_open -> hit_wall_after_up,1,0.007407407407407408,1
optimal_to_suboptimal,hit_wall_after_up -> door_open_after_up -> agent_location+door_open_after_left,1,0.007751937984496124,1
suboptimal_to_optimal,hit_wall_after_up -> agent_location,1,0.007407407407407408,1
optimal_to_suboptimal,hit_wall_after_up -> hit_wall_after_right,1,0.007751937984496124,1
suboptimal_to_optimal,door_open -> hit_wall_after_right -> hit_wall_after_up,1,0.007407407407407408,1
suboptimal_to_optimal,door_open+hit_wall_after_up,1,0.007407407407407408,1
optimal_to_suboptimal,door_open -> hit_wall_after_up,1,0.007751937984496124,1
suboptimal_to_optimal,agent_location+hit_wall_after_up+wall_up,1,0.007407407407407408,1
suboptimal_to_optimal,agent_location+hit_wall_after_up+wall_up -> hit_wall_after_right,1,0.007407407407407408,1
optimal_to_suboptimal,wall_up -> wall_down -> door_open,1,0.007751937984496124,1
suboptimal_to_optimal,door_open+wall_up -> wall_down,1,0.007407407407407408,1
suboptimal_to_optimal,wall_down -> door_open,1,0.007407407407407408,1
optimal_to_suboptimal,door_open+has_key+hit_wall_after_right,1,0.007751937984496124,1
suboptimal_to_optimal,wall_up -> agent_location+wall_left,1,0.007407407407407408,1
optimal_to_suboptimal,wall_up -> agent_location+wall_left -> wall_up,1,0.007751937984496124,1
suboptimal_to_optimal,wall_down+wall_up -> hit_wall_after_up,1,0.007407407407407408,1
