transition_family,model_type,feature,standardized_coefficient
suboptimal_to_optimal,action_conditioned,chosen_effect_reports_hit,0.08386420458555222
suboptimal_to_optimal,combined,reasoning_progress,-1.0017303228378296
suboptimal_to_optimal,combined,error_wall_left,0.042787615209817886
suboptimal_to_optimal,combined,error_wall_right,0.0539836511015892
suboptimal_to_optimal,combined,error_wall_up,-0.6327540874481201
suboptimal_to_optimal,combined,error_wall_down,-0.674587607383728
suboptimal_to_optimal,combined,error_has_key,0.2646535336971283
suboptimal_to_optimal,combined,chosen_wall_error,0.03142666444182396
suboptimal_to_optimal,combined,chosen_wall_reports_blocked,0.15782365202903748
suboptimal_to_optimal,combined,chosen_effect_error,-0.13528522849082947
suboptimal_to_optimal,combined,chosen_effect_reports_hit,-0.0027476255781948566
suboptimal_to_optimal,belief_action_chain,reasoning_progress,-0.998970627784729
suboptimal_to_optimal,belief_action_chain,error_wall_left,0.047609712928533554
suboptimal_to_optimal,belief_action_chain,error_wall_right,0.05403174087405205
suboptimal_to_optimal,belief_action_chain,error_wall_up,-0.6300065517425537
suboptimal_to_optimal,belief_action_chain,error_wall_down,-0.6738748550415039
suboptimal_to_optimal,belief_action_chain,error_has_key,0.26369649171829224
suboptimal_to_optimal,belief_action_chain,chosen_wall_error,0.0468335896730423
suboptimal_to_optimal,belief_action_chain,chosen_wall_reports_blocked,0.11436571180820465
suboptimal_to_optimal,belief_action_chain,chosen_effect_error,-0.10423664003610611
suboptimal_to_optimal,belief_action_chain,chosen_effect_reports_hit,-0.03489327430725098
suboptimal_to_optimal,belief_action_chain,blocked_report*predicted_hit,0.06471150368452072
suboptimal_to_optimal,belief_action_chain,chosen_wall_error*chosen_effect_error,-0.03486264497041702
