transition_family,model_type,n_trajectories,n_rows,n_positive,positive_rate,roc_auc,brier_score,log_loss,roc_auc_ci_low,roc_auc_ci_high,brier_score_ci_low,brier_score_ci_high,log_loss_ci_low,log_loss_ci_high
optimal_to_suboptimal,prevalence_baseline,31,5384,160,0.029717682020802376,0.5,0.028834541396112856,0.13375942936450597,0.5,0.5,0.016858817269684318,0.038631587332527306,0.0893759657048021,0.17006845149133548
optimal_to_suboptimal,baseline,31,5384,160,0.029717682020802376,0.6034719563552833,0.028770562711015246,0.13224108297932516,0.5270983532852865,0.7100865196436955,0.016907967932741894,0.038440528855721814,0.08936085190239001,0.1694073724401237
optimal_to_suboptimal,global_beliefs,31,5384,160,0.029717682020802376,0.5528761485451761,0.028904586467430975,0.13496421801138173,0.45180284473218946,0.7064062064847461,0.016899565648760276,0.03859830729574143,0.08883236457994866,0.1746408795267299
optimal_to_suboptimal,belief_dynamics,31,5384,160,0.029717682020802376,0.5999910269908116,0.028782309999145595,0.13228205881314536,0.5248440334913224,0.7036164366410448,0.0169894754015999,0.0384458678225621,0.08944358874212215,0.16960002926328083
optimal_to_suboptimal,global_beliefs_and_dynamics,31,5384,160,0.029717682020802376,0.5518950995405819,0.02889909730667263,0.13482018851644204,0.4544070421813682,0.7055970929204893,0.016923794139424034,0.03860573409983753,0.08861038445946143,0.17444735048919102
optimal_to_suboptimal,action_conditioned,31,5384,160,0.029717682020802376,0.6070384284073507,0.029096355954529002,0.13368624395881734,0.5316060929585131,0.7108065282287095,0.01716217612128291,0.038683224749035135,0.09371638057750986,0.1706250816743953
optimal_to_suboptimal,combined,31,5384,160,0.029717682020802376,0.5602160700612557,0.029010164312833472,0.13470879118456316,0.46201759113598306,0.7132615006481656,0.0167326884343083,0.03897692322313114,0.08752712886124936,0.1749242225219841
optimal_to_suboptimal,belief_action_chain,31,5384,160,0.029717682020802376,0.5601753924196018,0.029009304663585755,0.13470816060224103,0.46199963534522215,0.7132271079539069,0.016732599913744716,0.03897409677997161,0.08753185308783373,0.17491849110909988
suboptimal_to_optimal,prevalence_baseline,23,1608,173,0.10758706467661691,0.5,0.09601208819088636,0.3414405854316318,0.5,0.5,0.07457083621910585,0.11331840988607335,0.283642128262679,0.388092651018468
suboptimal_to_optimal,baseline,23,1608,173,0.10758706467661691,0.3841372782018489,0.09684390795027209,0.34590731043712936,0.2570872307292081,0.4473360795689467,0.0755086738229199,0.11440285256015756,0.28847868374427627,0.39496755622523577
suboptimal_to_optimal,global_beliefs,23,1608,173,0.10758706467661691,0.47346881230992327,0.0994089663549532,0.35713539556443635,0.33125186617423746,0.5280526706336698,0.08136133646941245,0.11653215444615098,0.30936178521096835,0.4035592699155859
suboptimal_to_optimal,belief_dynamics,23,1608,173,0.10758706467661691,0.3754425892731264,0.09714928903527045,0.3481630902449021,0.25910313554094755,0.4346013584973088,0.07586275105355372,0.1148591142111812,0.2897303876677339,0.398100312086403
suboptimal_to_optimal,global_beliefs_and_dynamics,23,1608,173,0.10758706467661691,0.47238927715453866,0.09970187552740659,0.35889939277322064,0.34047014316000074,0.5286889866680397,0.08142572290991479,0.11694023078612908,0.309929703567177,0.4063320172441357
suboptimal_to_optimal,action_conditioned,23,1608,173,0.10758706467661691,0.3702040240881352,0.09835732468309463,0.3535180598272229,0.2976441083536094,0.4316108677342372,0.07660563294063186,0.1153050327953846,0.29343094397827196,0.3999205935275559
suboptimal_to_optimal,combined,23,1608,173,0.10758706467661691,0.4474713500231617,0.09968809248329431,0.35780064048150223,0.32894974603495364,0.5077674083169479,0.08166055569768034,0.11674893639241088,0.30948580530095493,0.4042862035800082
suboptimal_to_optimal,belief_action_chain,23,1608,173,0.10758706467661691,0.44687921693420074,0.09971547866786894,0.3579136668688108,0.32869163627210823,0.5088501130806675,0.08169550830113188,0.11675793331027538,0.3095234303498109,0.40435659871582197
