trajectory_id,source_file,model_name,actual_length,stored_astar_distance,recomputed_optimal_length,length_delta,reached_goal,failed_by_truncation,replay_mismatch_count,model_max_steps_per_trajectory,stored_astar_suspicious,trajectory_class,primary_failure_mode,failure_onset_step_index,selected_step_count,wall_hit_step_count,contains_wall_hit,backtrack_step_count,contains_backtrack,oscillation_step_count,contains_oscillation_2cycle,short_loop_step_count,contains_short_loop,freeze_repeat_step_count,contains_freeze_repeat,avoidable_detour_step_count,contains_avoidable_detour,wall_hit_count,non_optimal_step_count
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_77,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_77.json,together_ai/openai/gpt-oss-20b,13,30,13,0,True,False,0,30,True,optimal_success,short_loop,3,4,0,False,1,True,0,False,2,True,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_78,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_78.json,together_ai/openai/gpt-oss-20b,12,30,12,0,True,False,0,30,True,optimal_success,short_loop,5,4,0,False,1,True,0,False,2,True,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_79,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_79.json,together_ai/openai/gpt-oss-20b,21,30,19,2,True,False,0,30,True,suboptimal_success,short_loop,4,4,0,False,2,True,0,False,1,True,0,False,1,True,0,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_8,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_8.json,together_ai/openai/gpt-oss-20b,8,30,8,0,True,False,0,30,True,optimal_success,none,,0,0,False,0,False,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_80,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_80.json,together_ai/openai/gpt-oss-20b,12,30,12,0,True,False,0,30,True,optimal_success,short_loop,3,4,0,False,1,True,0,False,1,True,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_81,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_81.json,together_ai/openai/gpt-oss-20b,16,26,14,2,True,False,0,30,True,suboptimal_success,backtrack,2,4,0,False,2,True,0,False,0,False,0,False,1,True,0,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_82,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_82.json,together_ai/openai/gpt-oss-20b,6,26,6,0,True,False,0,30,True,optimal_success,none,,0,0,False,0,False,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_83,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_83.json,together_ai/openai/gpt-oss-20b,13,30,13,0,True,False,0,30,True,optimal_success,short_loop,5,3,0,False,0,False,0,False,2,True,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_84,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_84.json,together_ai/openai/gpt-oss-20b,5,30,5,0,True,False,0,30,True,optimal_success,none,,0,0,False,0,False,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_85,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_85.json,together_ai/openai/gpt-oss-20b,13,30,13,0,True,False,0,30,True,optimal_success,backtrack,5,2,0,False,1,True,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_86,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_86.json,together_ai/openai/gpt-oss-20b,17,30,17,0,True,False,0,30,True,optimal_success,short_loop,5,4,0,False,1,True,0,False,2,True,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_87,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_87.json,together_ai/openai/gpt-oss-20b,9,30,9,0,True,False,0,30,True,optimal_success,none,,0,0,False,0,False,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_88,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_88.json,together_ai/openai/gpt-oss-20b,21,30,21,0,True,False,0,30,True,optimal_success,short_loop,11,2,0,False,0,False,0,False,1,True,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_89,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_89.json,together_ai/openai/gpt-oss-20b,15,30,15,0,True,False,0,30,True,optimal_success,none,,0,0,False,0,False,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_9,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_9.json,together_ai/openai/gpt-oss-20b,9,30,9,0,True,False,0,30,True,optimal_success,backtrack,2,2,0,False,1,True,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_90,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_90.json,together_ai/openai/gpt-oss-20b,19,30,19,0,True,False,0,30,True,optimal_success,backtrack,9,2,0,False,1,True,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_92,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_92.json,together_ai/openai/gpt-oss-20b,17,30,15,2,True,False,0,30,True,suboptimal_success,backtrack,5,3,0,False,1,True,0,False,0,False,0,False,1,True,0,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_93,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_93.json,together_ai/openai/gpt-oss-20b,18,30,18,0,True,False,0,30,True,optimal_success,short_loop,6,4,0,False,1,True,0,False,2,True,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_94,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_94.json,together_ai/openai/gpt-oss-20b,19,30,19,0,True,False,0,30,True,optimal_success,short_loop,4,2,0,False,0,False,0,False,1,True,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_95,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_95.json,together_ai/openai/gpt-oss-20b,17,30,15,2,True,False,0,30,True,suboptimal_success,short_loop,4,4,0,False,2,True,0,False,2,True,0,False,1,True,0,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_96,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_96.json,together_ai/openai/gpt-oss-20b,16,30,16,0,True,False,0,30,True,optimal_success,none,,0,0,False,0,False,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_97,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_97.json,together_ai/openai/gpt-oss-20b,12,30,12,0,True,False,0,30,True,optimal_success,backtrack,4,2,0,False,1,True,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_98,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_98.json,together_ai/openai/gpt-oss-20b,16,30,16,0,True,False,0,30,True,optimal_success,none,,0,0,False,0,False,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_99,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_99.json,together_ai/openai/gpt-oss-20b,10,30,10,0,True,False,0,30,True,optimal_success,none,,0,0,False,0,False,0,False,0,False,0,False,0,False,0,0
