example_id,trajectory_id,matched_role,trajectory_class,pre_action_entropy_mean,commitment_action_entropy,post_action_entropy_mean,pre_action_confidence_mean,commitment_action_confidence,post_action_confidence_mean,pre_state_belief_entropy_mean,commitment_state_belief_entropy,post_state_belief_entropy_mean,pre_low_action_entropy_rate,n_pre_prefixes,n_post_prefixes,delta_commitment_minus_pre_action_entropy,delta_post_minus_pre_action_entropy,delta_post_minus_pre_action_confidence,delta_post_minus_pre_state_belief_entropy
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,optimal_success,0.44233837475777726,0.8612928056431123,0.2299968003235254,0.9224587440490722,0.7875897288322449,0.9670478940010071,0.5876327529376952,0.4470109465998715,0.32046980682022264,0.2,5,5,0.418954430885335,-0.21234157443425186,0.04458914995193486,-0.2671629461174726
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,optimal_success,1.4459463750769053,1.2723734238548374,1.4327613268989237,0.5877784430980683,0.6221433877944946,0.6253385305404663,0.10541240363728481,0.1220647881615639,0.16712919590097802,0.0,5,5,-0.17357295122206784,-0.013185048177981606,0.03756008744239803,0.06171679226369321
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,optimal_success,1.0844070306034537,0.6241313083022764,1.2423199334956905,0.65270916223526,0.899489164352417,0.6774345576763153,0.5788300382402504,0.8277348123052707,0.604292709481651,0.0,5,5,-0.4602757223011773,0.1579129028922368,0.024725395441055342,0.02546267124140067
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,control,optimal_success,0.9337911960472596,1.0017314390840335,0.044240602324797894,0.6349573493003845,0.4999390840530395,0.9932796597480774,0.28000121256255067,0.2511084997700444,0.17133115750499195,0.0,5,5,0.06794024303677393,-0.8895505937224617,0.3583223104476929,-0.10867005505755872
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,failure,optimal_success,0.711369589373575,1.014764292712151,0.4124101105200447,0.7833662509918213,0.5433382391929626,0.8931570172309875,0.23629124746683652,0.6862072137759178,0.7491971495701237,0.0,5,5,0.303394703338576,-0.29895947885353025,0.10979076623916617,0.5129059021032872
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11_step_004,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11,control,optimal_success,1.785364657343358,0.2097229336296901,0.27739669189729443,0.450635290145874,0.972579061985016,0.959411370754242,0.3287948015623459,0.218527578472073,0.36145375187097545,0.0,5,5,-1.5756417237136677,-1.5079679654460634,0.508776080608368,0.03265895030862953
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11_step_005,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11,failure,optimal_success,0.15188792422031344,0.4876101506992089,3.519278615752018e-05,0.9604027986526489,0.8948031067848206,0.9999984502792358,0.5697840691364428,0.5187248568757161,0.6551228774035787,0.8,5,2,0.33572222647889544,-0.15185273143415592,0.03959565162658696,0.08533880826713591
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_12_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_12,control,optimal_success,,0.2923517708173414,0.6346484271529278,,0.96001398563385,0.8796555280685425,,0.4635341180794721,0.26749764138065846,,0,5,,,,
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_13_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_13,failure,optimal_success,0.8455072189198077,0.0267936525568494,0.03811358890106466,0.7442059278488159,0.9976322650909424,0.9962353229522705,0.4973497794793097,0.4619504246097617,0.5992067382159196,0.0,5,5,-0.8187135663629583,-0.8073936300187431,0.25202939510345457,0.10185695873660994
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,failure,suboptimal_success,0.4063004025078213,0.5995556125874887,0.6457025558905753,0.8956393122673034,0.8560011386871338,0.7812047481536866,0.2578540849971781,0.2008190255098828,0.13162922700442123,0.0,5,5,0.1932552100796674,0.23940215338275406,-0.11443456411361685,-0.12622485799275687
