group,n_prefixes,n_states,belief_action_conflict_rate,chosen_wall_reports_blocked_rate,chosen_hit_reports_blocked_rate,mean_primary_belief_error_rate,mean_state_belief_entropy_bits
all,7038,46,0.0026996305768684286,0.00014208581983518045,0.0026996305768684286,0.15977550440466037,0.42309493165997514
control,3373,23,0.0,0.0,0.0,0.14052772013044762,0.42360098471279584
failure,3665,23,0.005184174624829468,0.00027285129604365623,0.005184174624829468,0.1774897680763983,0.42262919715870234
