target,model_type,n_trajectories,n_rows,n_positive,positive_rate,roc_auc,brier_score,log_loss
action_change,prevalence_baseline,31,7038,682,0.09690252912759306,0.4611672255554592,0.08762917631249834,0.31890596911813485
action_change,progress_baseline,31,7038,682,0.09690252912759306,0.5333160160856623,0.08748833094227443,0.3181805086298311
action_change,belief_error_entropy,31,7038,682,0.09690252912759306,0.5253403162135577,0.08759066360118846,0.31873178709418715
action_change,belief_action_conflict,31,7038,682,0.09690252912759306,0.5338506438140516,0.08748498541620033,0.3191360082717932
action_change,combined_gap_belief,31,7038,682,0.09690252912759306,0.5242765973546135,0.08773263332001378,0.32142956583522264
optimal_to_suboptimal,prevalence_baseline,31,7038,161,0.02287581699346405,0.4487426356827195,0.022362057609521552,0.10924155720729531
optimal_to_suboptimal,progress_baseline,31,7038,161,0.02287581699346405,0.6047546190966919,0.022295320381976513,0.10771669963337392
optimal_to_suboptimal,belief_error_entropy,31,7038,161,0.02287581699346405,0.5491944974561889,0.02234425641424843,0.10877638943887571
optimal_to_suboptimal,belief_action_conflict,31,7038,161,0.02287581699346405,0.6050445404024758,0.022294628553094456,0.10769016426525001
optimal_to_suboptimal,combined_gap_belief,31,7038,161,0.02287581699346405,0.5491561122365758,0.022344124119857235,0.10875666278131278
suboptimal_to_optimal,prevalence_baseline,31,7038,182,0.025859619210002842,0.4434012239219357,0.025207991851102535,0.12037509845504611
suboptimal_to_optimal,progress_baseline,31,7038,182,0.025859619210002842,0.6211375774167489,0.025088332396179185,0.11796823335678196
suboptimal_to_optimal,belief_error_entropy,31,7038,182,0.025859619210002842,0.5792379659430418,0.02514765923494363,0.1191172654293966
suboptimal_to_optimal,belief_action_conflict,31,7038,182,0.025859619210002842,0.6216933591496019,0.025087088199844003,0.117930404311861
suboptimal_to_optimal,combined_gap_belief,31,7038,182,0.025859619210002842,0.5797184146075628,0.025147034431319572,0.11908615261160191
commitment_onset,prevalence_baseline,31,7038,45,0.00639386189258312,0.47699286588175477,0.006353163696302134,0.038692302599085605
commitment_onset,progress_baseline,31,7038,45,0.00639386189258312,0.7283219727664172,0.006341354142645084,0.03780271521924931
commitment_onset,belief_error_entropy,31,7038,45,0.00639386189258312,0.735913691469247,0.006339391277075803,0.03768676618199815
commitment_onset,belief_action_conflict,31,7038,45,0.00639386189258312,0.7203362092250981,0.0063420764993913775,0.03784506021639885
commitment_onset,combined_gap_belief,31,7038,45,0.00639386189258312,0.721677232788344,0.006341201207395193,0.037981388922974015
