event,n_eligible_positions,n_similarity_increased,rate_similarity_increased,ci_low,ci_high
No tracked action event,6288,3081,0.48998091603053434,0.4852729434347938,0.4961503089448909
Recommendation change,658,378,0.574468085106383,0.5436214379708652,0.5997580173768112
Commitment onset,45,31,0.6888888888888889,0.574468085106383,0.7960204081632652
Optimal to suboptimal,156,93,0.5961538461538461,0.5046611167831618,0.6732988511115262
Suboptimal to optimal,173,92,0.5317919075144508,0.45079918032786886,0.6063450099140779
