slice,reasoning_reveal_pct,n_wall_question_rows,adjacent_wall_belief_accuracy,probed_next_action_in_optimal_action_set_rate,chosen_direction_wall_belief_contradiction_rate,chosen_direction_wall_belief_correct_but_action_suboptimal_rate,wall_belief_entropy
non_failure_controls,0,244,0.9877049180327869,0.8852459016393442,0.03278688524590164,0.11475409836065574,5.399759653002066e-07
non_failure_controls,25,244,0.9754098360655737,0.9672131147540983,0.0,0.016666666666666666,0.0022157111558059714
non_failure_controls,50,244,0.9754098360655737,0.9836065573770492,0.01639344262295082,0.016666666666666666,0.004317379997466644
non_failure_controls,75,244,0.9877049180327869,0.9672131147540983,0.04918032786885246,0.017241379310344827,0.0014395979945429922
non_failure_controls,100,244,0.9959016393442623,1.0,0.01639344262295082,0.0,0.021482285741807106
balanced_failure_modes,0,64,0.9375,0.875,0.0625,0.125,9.680751818069322e-07
balanced_failure_modes,25,64,0.984375,0.9375,0.0,0.0625,0.0003348393102437836
balanced_failure_modes,50,64,1.0,0.8125,0.0625,0.1875,0.00414010899940092
balanced_failure_modes,75,64,0.984375,0.75,0.125,0.25,0.013244223386354137
balanced_failure_modes,100,64,1.0,0.75,0.125,0.25,0.040127567587949366
short_loop,0,196,0.9948979591836735,0.6326530612244898,0.12244897959183673,0.3541666666666667,4.590070325928287e-07
short_loop,25,196,0.9846938775510204,0.8979591836734694,0.061224489795918366,0.10204081632653061,0.0054578382376712945
short_loop,50,196,0.9744897959183674,0.9795918367346939,0.02040816326530612,0.020833333333333332,0.009545822076196652
short_loop,75,196,0.9744897959183674,0.9591836734693877,0.04081632653061224,0.0425531914893617,0.005906330883504667
short_loop,100,196,1.0,1.0,0.0,0.0,0.027678274504285852
