model_name,outcome,term,coefficient,std_error,ci_95_low,ci_95_high,z_value,p_value,odds_ratio,odds_ratio_ci_95_low,odds_ratio_ci_95_high,n,events,non_events,converged,model_warning
action_change_next_main,action_change_next,Intercept,-2.698010870004357,0.680148108066366,-4.031101161814434,-1.3649205781942795,-3.9667990515693625,7.28443591488549e-05,0.0673393262831585,0.0177547683124801,0.2554009595879802,216,18,198,True,
action_change_next_main,action_change_next,reasoning_progress,-3.5400619131200655,1.5582176098345555,-6.594168428395794,-0.4859553978443367,-2.271866195566827,0.023094593208165693,0.029011530832200212,0.0013683242973688353,0.6151092418998604,216,18,198,True,
action_change_next_main,action_change_next,action_mc_entropy,2.0607919592461785,0.6310051688203653,0.8240218283582625,3.2975620901340945,3.2658876045321987,0.0010912155181999113,7.852185959798599,2.279649785593275,27.04662125599795,216,18,198,True,
action_change_next_main,action_change_next,state_belief_entropy_per_0p01_bits,0.5412360472571282,0.46004858675814425,-0.3604591827888346,1.442931277303091,1.1764758393696917,0.2394047815862127,1.7181292391689837,0.697356038650785,4.233085997503849,216,18,198,True,
action_change_next_main,action_change_next,primary_belief_error_rate,-2.170669270585998,2.92692903804226,-7.907450185148827,3.5661116439768317,-0.7416200537741418,0.4583175698535247,0.11410122675595201,0.0003679916960436092,35.37876013830036,216,18,198,True,
action_change_next_main,action_change_next,chosen_action_conflicts_with_reported_state,1.9015960282269297,0.7553093907825814,0.4211896222930702,3.382002434160789,2.5176385351924098,0.011814449797410562,6.6965738385734115,1.5237731923824815,29.429643072634875,216,18,198,True,
optimality_loss_next_compact,optimality_loss_next,Intercept,-4.195768925050586,1.2542070969029897,-6.654014834980446,-1.737523015120726,-3.3453557513836327,0.000821770922741783,0.015059158644793466,0.0012888372354147107,0.17595570088886126,216,4,212,True,rare event model: only 4 rows in the smaller class; coefficients and p-values are unstable
optimality_loss_next_compact,optimality_loss_next,reasoning_progress,-1.8442776586583083,2.295157032682713,-6.342785442716426,2.6542301253998097,-0.8035518408527408,0.42165584583368176,0.15813951034887896,0.0017593947120068108,14.214038818417448,216,4,212,True,rare event model: only 4 rows in the smaller class; coefficients and p-values are unstable
optimality_loss_next_compact,optimality_loss_next,action_mc_entropy,1.3449376645644773,1.1145735280873803,-0.8396264504867881,3.5295017796157424,1.2066836603166093,0.2275539940760306,3.8379472930271974,0.43187181880898484,34.1069705929799,216,4,212,True,rare event model: only 4 rows in the smaller class; coefficients and p-values are unstable
optimality_loss_next_compact,optimality_loss_next,state_belief_entropy_per_0p01_bits,0.31308091317214537,0.912643515348088,-1.475700376910107,2.101862203254398,0.3430484169415638,0.7315620362379229,1.3676321860093201,0.22861855180534363,8.181391148874008,216,4,212,True,rare event model: only 4 rows in the smaller class; coefficients and p-values are unstable
optimality_loss_next_compact,optimality_loss_next,primary_belief_error_rate,2.4557666749580203,3.546811252760946,-4.495983380453433,9.407516730369474,0.6923871894920759,0.4886942085708107,11.65536600153799,0.011153706882992701,12179.58819026791,216,4,212,True,rare event model: only 4 rows in the smaller class; coefficients and p-values are unstable
optimality_recovery_next_compact,optimality_recovery_next,Intercept,-3.372043624541974,0.9693976473792042,-5.272063013405214,-1.4720242356787336,-3.4784937158228058,0.0005042402606223297,0.034319429600176275,0.005133010173609702,0.22946053256176802,216,5,211,True,rare event model: only 5 rows in the smaller class; coefficients and p-values are unstable
optimality_recovery_next_compact,optimality_recovery_next,reasoning_progress,-0.27022887090604875,1.949926330544499,-4.092084478773266,3.551626736961169,-0.1385841437561335,0.8897787738411275,0.763204798972431,0.016704377322709928,34.869995685661024,216,5,211,True,rare event model: only 5 rows in the smaller class; coefficients and p-values are unstable
optimality_recovery_next_compact,optimality_recovery_next,action_mc_entropy,0.4195181087858935,1.0171503977320149,-1.5740966707688557,2.413132888340643,0.41244452120484004,0.6800136365525803,1.5212283124026946,0.2071946331394589,11.168897299081816,216,5,211,True,rare event model: only 5 rows in the smaller class; coefficients and p-values are unstable
optimality_recovery_next_compact,optimality_recovery_next,state_belief_entropy_per_0p01_bits,0.29946536469034774,0.51815331926742,-0.7161151410737954,1.315045870454491,0.5779474019653882,0.5632996308750751,1.3491373182784405,0.48864689763134506,3.724921845190457,216,5,211,True,rare event model: only 5 rows in the smaller class; coefficients and p-values are unstable
optimality_recovery_next_compact,optimality_recovery_next,primary_belief_error_rate,-7.017203065795591,6.518161612233516,-19.792799825773283,5.758393694182101,-1.076561687673631,0.281676127997354,0.0008963289633317061,2.5356905624609086e-09,316.8389796456782,216,5,211,True,rare event model: only 5 rows in the smaller class; coefficients and p-values are unstable
