reasoning_reveal_pct,n_rows,blackbox_wall_accuracy,mean_blackbox_entropy,wall_greedy_modal_accuracy,wall_greedy_mean_agreement_rate,wall_mc_modal_accuracy,wall_mc_mean_entropy,wall_mc_mean_agreement_rate,action_greedy_modal_optimality_rate,action_greedy_mean_agreement_rate,action_mc_modal_optimality_rate,action_mc_mean_entropy,action_mc_mean_agreement_rate,local_belief_action_gap_count,local_belief_action_gap_denominator,local_belief_action_gap_rate,astar_conditioned_gap_count,astar_conditioned_gap_denominator,astar_conditioned_gap_rate,mc_local_belief_action_gap_count,mc_local_belief_action_gap_denominator,mc_local_belief_action_gap_rate,mc_astar_conditioned_gap_count,mc_astar_conditioned_gap_denominator,mc_astar_conditioned_gap_rate
0,244,0.9877049180327869,5.399759653002066e-07,0.9549180327868853,0.996311475409836,0.9836065573770492,0.08730162888814029,0.9737704918032787,0.8852459016393442,0.8770491803278688,0.9508196721311475,0.7207508778006642,0.7770491803278688,2,61,0.03278688524590164,7,61,0.11475409836065574,1,61,0.01639344262295082,3,61,0.04918032786885246
25,244,0.9754098360655737,0.0022157111558059714,0.9508196721311475,0.9901639344262295,0.9549180327868853,0.15745494158194265,0.9540983606557377,0.9672131147540983,0.9442622950819672,0.9508196721311475,0.29655600226038664,0.9098360655737705,0,61,0.0,1,60,0.016666666666666666,0,61,0.0,2,60,0.03333333333333333
50,244,0.9754098360655737,0.004317379997466644,0.9672131147540983,0.9918032786885246,0.9672131147540983,0.11558866720840638,0.9688524590163935,0.9836065573770492,0.9770491803278689,0.9836065573770492,0.25557487173264043,0.9213114754098362,1,61,0.01639344262295082,1,60,0.016666666666666666,1,61,0.01639344262295082,1,60,0.016666666666666666
75,244,0.9877049180327869,0.0014395979945429922,0.9672131147540983,0.9938524590163934,0.9713114754098361,0.10087309098774627,0.9717213114754099,0.9672131147540983,0.9721311475409835,0.9672131147540983,0.13683536331016422,0.9540983606557377,3,61,0.04918032786885246,1,58,0.017241379310344827,3,61,0.04918032786885246,1,58,0.017241379310344827
100,244,0.9959016393442623,0.021482285741807106,0.9795081967213115,0.9885245901639343,0.9549180327868853,0.12755317378015005,0.964344262295082,1.0,1.0,1.0,1.6017132519074586e-16,1.0,1,61,0.01639344262295082,0,60,0.0,1,61,0.01639344262295082,0,60,0.0
