layer,representation_kind,outcome_class,metric,n_rows,mean,minimum,maximum
0,chunk_sampled_token_mean,all valid recommendations optimal,adjacent_step_cosine,146,0.834912668130429,0.3702609015945613,0.9968280660952175
0,chunk_sampled_token_mean,all valid recommendations optimal,aligned_change,146,0.03463937819474181,-0.41580546983217037,0.8843010469557556
0,chunk_sampled_token_mean,all valid recommendations optimal,optimality_anchor_cosine,151,0.911996693398575,0.48699660523463534,0.9824678432532611
0,chunk_sampled_token_mean,all valid recommendations optimal,update_norm,146,73.89471907642506,10.272542750410292,187.60052041465195
0,chunk_sampled_token_mean,mixed or transient suboptimality,adjacent_step_cosine,88,0.9053385099105847,0.7065121332597006,0.987485979784931
0,chunk_sampled_token_mean,mixed or transient suboptimality,aligned_change,88,0.02225773226894288,-0.4401240022854377,0.6475159286682428
0,chunk_sampled_token_mean,mixed or transient suboptimality,optimality_anchor_cosine,91,0.929020300343501,0.7247911320783627,0.9863784981927366
0,chunk_sampled_token_mean,mixed or transient suboptimality,update_norm,88,51.56218074750208,19.016454548652387,111.36589380424617
2,chunk_sampled_token_mean,all valid recommendations optimal,adjacent_step_cosine,146,0.8391688632914599,0.5012357222685895,0.9958135121271727
2,chunk_sampled_token_mean,all valid recommendations optimal,aligned_change,146,0.03824563707647244,-0.5488651087433355,0.8627550014190231
2,chunk_sampled_token_mean,all valid recommendations optimal,optimality_anchor_cosine,151,0.9082829395708678,0.6122739271487998,0.9797191682876705
2,chunk_sampled_token_mean,all valid recommendations optimal,update_norm,146,97.33854655315437,14.777707739675739,238.38617862912304
2,chunk_sampled_token_mean,mixed or transient suboptimality,adjacent_step_cosine,88,0.8998507685823509,0.7107047767548764,0.9852720612425141
2,chunk_sampled_token_mean,mixed or transient suboptimality,aligned_change,88,0.0369779833376105,-0.5414847584923026,0.6340348889659477
2,chunk_sampled_token_mean,mixed or transient suboptimality,optimality_anchor_cosine,91,0.9186322511765922,0.714296598145541,0.9746186554568206
2,chunk_sampled_token_mean,mixed or transient suboptimality,update_norm,88,70.50144348635996,27.539618710727435,153.13963994379884
4,chunk_sampled_token_mean,all valid recommendations optimal,adjacent_step_cosine,146,0.8647114011996541,0.5511511008074318,0.9950263030759072
4,chunk_sampled_token_mean,all valid recommendations optimal,aligned_change,146,0.037420972992999305,-0.5346050951253214,0.8785080268723613
4,chunk_sampled_token_mean,all valid recommendations optimal,optimality_anchor_cosine,151,0.9199309914127772,0.6852324490152918,0.9797146088582195
4,chunk_sampled_token_mean,all valid recommendations optimal,update_norm,146,134.29153554909635,22.463120012430387,310.05195943103297
4,chunk_sampled_token_mean,mixed or transient suboptimality,adjacent_step_cosine,88,0.9131138086391144,0.7198550101179951,0.9872626725512682
4,chunk_sampled_token_mean,mixed or transient suboptimality,aligned_change,88,0.03998339949309017,-0.5084237438395968,0.6137039569803612
4,chunk_sampled_token_mean,mixed or transient suboptimality,optimality_anchor_cosine,91,0.9230610568653042,0.7453921207396205,0.975757755766945
4,chunk_sampled_token_mean,mixed or transient suboptimality,update_norm,88,101.19192893305164,38.4621964066263,222.28614337555052
6,chunk_sampled_token_mean,all valid recommendations optimal,adjacent_step_cosine,146,0.8890926069354449,0.6565432809463858,0.984069566050632
6,chunk_sampled_token_mean,all valid recommendations optimal,aligned_change,146,0.039280061987385706,-0.5862646677241161,0.8796039781168604
6,chunk_sampled_token_mean,all valid recommendations optimal,optimality_anchor_cosine,151,0.9323478960912958,0.7384397818968957,0.9838308607529401
6,chunk_sampled_token_mean,all valid recommendations optimal,update_norm,146,199.1358393850848,65.35013517815955,405.91068823291226
6,chunk_sampled_token_mean,mixed or transient suboptimality,adjacent_step_cosine,88,0.9258919935688368,0.7651560582895388,0.9867246368341386
6,chunk_sampled_token_mean,mixed or transient suboptimality,aligned_change,88,0.04097261470767762,-0.5340162474500877,0.5124047401628576
6,chunk_sampled_token_mean,mixed or transient suboptimality,optimality_anchor_cosine,91,0.9328255197598575,0.7770622754658377,0.9771531507195357
6,chunk_sampled_token_mean,mixed or transient suboptimality,update_norm,88,155.38582349592164,62.075776349373655,319.5277327705355
8,chunk_sampled_token_mean,all valid recommendations optimal,adjacent_step_cosine,146,0.887994243200817,0.7003862363527745,0.9753531105335059
8,chunk_sampled_token_mean,all valid recommendations optimal,aligned_change,146,0.03983219235637421,-0.5375857797157408,0.8830845706085239
8,chunk_sampled_token_mean,all valid recommendations optimal,optimality_anchor_cosine,151,0.9303752210338566,0.7487282002934439,0.9854150318561713
8,chunk_sampled_token_mean,all valid recommendations optimal,update_norm,146,289.1642126808362,113.1318111579655,558.4023708112061
8,chunk_sampled_token_mean,mixed or transient suboptimality,adjacent_step_cosine,88,0.9219050410371453,0.7918495015339507,0.9841787237452447
8,chunk_sampled_token_mean,mixed or transient suboptimality,aligned_change,88,0.038810864006402844,-0.5190922838192381,0.49035052629597403
8,chunk_sampled_token_mean,mixed or transient suboptimality,optimality_anchor_cosine,91,0.9272174619496331,0.7832649721007457,0.9752242966670898
8,chunk_sampled_token_mean,mixed or transient suboptimality,update_norm,88,228.16391058452731,99.3715444875569,429.276182898872
10,chunk_sampled_token_mean,all valid recommendations optimal,adjacent_step_cosine,146,0.8897046761794685,0.7000455797977857,0.9755801764428091
10,chunk_sampled_token_mean,all valid recommendations optimal,aligned_change,146,0.03885709535516673,-0.5247428117721297,0.8944688377110173
10,chunk_sampled_token_mean,all valid recommendations optimal,optimality_anchor_cosine,151,0.9300176423647135,0.7802784345528693,0.9862575431187703
10,chunk_sampled_token_mean,all valid recommendations optimal,update_norm,146,413.3642599081567,162.8207856817587,803.5956087995974
10,chunk_sampled_token_mean,mixed or transient suboptimality,adjacent_step_cosine,88,0.9222732932630423,0.8043195330209585,0.9812508287145246
10,chunk_sampled_token_mean,mixed or transient suboptimality,aligned_change,88,0.03751610884324302,-0.41104446263936456,0.4762654236624418
10,chunk_sampled_token_mean,mixed or transient suboptimality,optimality_anchor_cosine,91,0.9247619184779575,0.7730009438664244,0.9742336798245077
10,chunk_sampled_token_mean,mixed or transient suboptimality,update_norm,88,332.75151350782295,149.2292982991346,609.8744929354223
12,chunk_sampled_token_mean,all valid recommendations optimal,adjacent_step_cosine,146,0.9001125534412062,0.7514086488905022,0.9790453615698723
12,chunk_sampled_token_mean,all valid recommendations optimal,aligned_change,146,0.037972773857887644,-0.5740774499481497,0.8900727846588615
12,chunk_sampled_token_mean,all valid recommendations optimal,optimality_anchor_cosine,151,0.9366471528285415,0.809700061410842,0.9880141287698841
12,chunk_sampled_token_mean,all valid recommendations optimal,update_norm,146,579.4513627769671,228.43366779103204,1100.2968197354664
12,chunk_sampled_token_mean,mixed or transient suboptimality,adjacent_step_cosine,88,0.9282263421330731,0.8266007068379497,0.9826475654089217
12,chunk_sampled_token_mean,mixed or transient suboptimality,aligned_change,88,0.03892688111226279,-0.3577942809755187,0.4976822857765135
12,chunk_sampled_token_mean,mixed or transient suboptimality,optimality_anchor_cosine,91,0.9295293746366698,0.8057357868291475,0.9788803741034113
12,chunk_sampled_token_mean,mixed or transient suboptimality,update_norm,88,467.7652872562666,207.39623037929587,828.8696122048814
14,chunk_sampled_token_mean,all valid recommendations optimal,adjacent_step_cosine,146,0.9094556643200523,0.7735257402599265,0.9825424953325275
14,chunk_sampled_token_mean,all valid recommendations optimal,aligned_change,146,0.03719414214310419,-0.5316335271393291,0.8683189450120535
14,chunk_sampled_token_mean,all valid recommendations optimal,optimality_anchor_cosine,151,0.9440737680083273,0.8430394663466068,0.9886226668499963
14,chunk_sampled_token_mean,all valid recommendations optimal,update_norm,146,844.234172938406,311.72398732774155,1579.4690131721823
14,chunk_sampled_token_mean,mixed or transient suboptimality,adjacent_step_cosine,88,0.9343706732337842,0.8374759374998865,0.9847044727720086
14,chunk_sampled_token_mean,mixed or transient suboptimality,aligned_change,88,0.03894987511877949,-0.32194919333180794,0.5217903799330268
14,chunk_sampled_token_mean,mixed or transient suboptimality,optimality_anchor_cosine,91,0.9397924091425071,0.848244100981401,0.981619872154916
14,chunk_sampled_token_mean,mixed or transient suboptimality,update_norm,88,690.6503387672532,304.7051964139203,1304.208330942692
16,chunk_sampled_token_mean,all valid recommendations optimal,adjacent_step_cosine,146,0.9154654372396505,0.7686405650061642,0.9796238046091457
16,chunk_sampled_token_mean,all valid recommendations optimal,aligned_change,146,0.03748781836790763,-0.4996675176196749,0.8263306004820399
16,chunk_sampled_token_mean,all valid recommendations optimal,optimality_anchor_cosine,151,0.9462690528940867,0.8322726279525242,0.9909615479478635
16,chunk_sampled_token_mean,all valid recommendations optimal,update_norm,146,1412.5492832972,582.8464244184572,2751.9978839684554
16,chunk_sampled_token_mean,mixed or transient suboptimality,adjacent_step_cosine,88,0.9357767193792732,0.8327595678727816,0.9853060704215261
16,chunk_sampled_token_mean,mixed or transient suboptimality,aligned_change,88,0.03964476003313618,-0.3159268352869145,0.5376342665877798
16,chunk_sampled_token_mean,mixed or transient suboptimality,optimality_anchor_cosine,91,0.9422416243029635,0.8699678412960402,0.9843264659436561
