example_id,trajectory_id,step_index,failure_category,trajectory_group,layer,representation_kind,wrong_turn_step_majority,wrong_turn_progress_majority,pre_window_size,aligned_change_at_wrong_turn,aligned_change_previous_3_mean,aligned_change_delta_at_wrong_turn,update_norm_at_wrong_turn,update_norm_previous_3_mean,update_norm_delta_at_wrong_turn,adjacent_step_cosine_at_wrong_turn,adjacent_step_cosine_previous_3_mean,adjacent_step_cosine_delta_at_wrong_turn,optimality_anchor_cosine_at_wrong_turn,optimality_anchor_cosine_previous_3_mean,optimality_anchor_cosine_delta_at_wrong_turn
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,0,avoidable_detour,recover,8,last_token,14,0.5384615384615384,3,-0.023720321234467826,0.009427364910250239,-0.033147686144718067,471.0370613488272,384.355684435387,86.6813769134402,0.7029975852767333,0.7958114938466204,-0.09281390856988714,0.8371130530201185,0.8383857096577322,-0.0012726566376136672
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,0,avoidable_detour,recover,8,mean_pool,14,0.5384615384615384,3,-0.15994671838000063,0.03654994144100397,-0.19649665982100462,187.83596974197195,170.01579073982438,17.82017900214757,0.942282405703561,0.9542152507045358,-0.011932845000974801,0.9631813390880567,0.9547491569505501,0.008432182137506627
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,0,avoidable_detour,recover,15,last_token,14,0.5384615384615384,3,-0.0009230296215716716,0.008708220227244538,-0.00963124984881621,1913.4269160340407,1652.1540670140002,261.27284902004044,0.7482098267549713,0.8145125663195675,-0.0663027395645962,0.8380403142084185,0.8743175933115485,-0.036277279103129945
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,0,avoidable_detour,recover,15,mean_pool,14,0.5384615384615384,3,0.004224761620888672,0.007169392224797298,-0.0029446306039086264,661.5316097361244,641.4287507577311,20.10285897839333,0.9664043848370095,0.9683118444693907,-0.0019074596323811477,0.9694337433127468,0.9667496871320235,0.0026840561807233154
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,0,avoidable_detour,recover,23,last_token,14,0.5384615384615384,3,0.17479140576467123,8.424952934854221e-05,0.17470715623532268,16382.378131409327,10198.676099370101,6183.702032039226,0.8823800775878008,0.9396365001760162,-0.057256422588215394,0.9291217548037184,0.9261834773945278,0.002938277409190615
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_000,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,0,avoidable_detour,recover,23,mean_pool,14,0.5384615384615384,3,-0.03488839072470344,0.023422874759077367,-0.05831126548378081,4553.8411303551175,4790.376303297456,-236.53517294233825,0.9875613072199497,0.9851228120317703,0.0024384951881794015,0.9844866204709308,0.9832371580491386,0.0012494624217922468
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,7,backtrack,recover,8,last_token,5,0.15625,3,-0.063713523418393,0.03315468176644568,-0.09686820518483868,585.1927914456094,688.3501826589305,-103.15739121332115,0.6597321146622902,0.5652692342019818,0.09446288046030837,0.8282658850588258,0.795163083148711,0.03310280191011483
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,7,backtrack,recover,8,mean_pool,5,0.15625,3,0.046527183203383386,0.033182297457137744,0.013344885746245642,329.57592340765456,279.65750090389986,49.9184225037547,0.8656463621218282,0.8940466093971183,-0.028400247275290114,0.8714268085678999,0.9630093389471192,-0.09158253037921926
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,7,backtrack,recover,15,last_token,5,0.15625,3,-0.05183305562853618,0.006555438027587269,-0.05838849365612345,2319.9258285636247,2428.794122647339,-108.86829408371432,0.7490182511507756,0.7001793570959762,0.04883889405479935,0.854217778307556,0.8382132369233553,0.01600454138420071
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,7,backtrack,recover,15,mean_pool,5,0.15625,3,-0.03524427226146154,0.03844594699866973,-0.07369021926013128,1192.9630709541725,973.1312372683484,219.8318336858241,0.9139229319539895,0.9336444664225095,-0.019721534468519986,0.912911355098208,0.9722123352636758,-0.05930098016546781
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,7,backtrack,recover,23,last_token,5,0.15625,3,0.04959790044314594,0.05838910564617217,-0.008791205203026231,13882.15700009314,16556.01745999418,-2673.8604599010378,0.8756180483840738,0.8154910049127313,0.060127043471342456,0.9105168390861095,0.9094225254283904,0.0010943136577190593
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15_step_007,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,7,backtrack,recover,23,mean_pool,5,0.15625,3,0.13058755539066266,0.00774204908144573,0.12284550630921694,8623.706753520417,8989.278227662106,-365.57147414168867,0.9536332629345459,0.9453703760775282,0.008262886857017704,0.9530052866062441,0.9754192770080765,-0.02241399040183245
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,10,none,recover,8,last_token,1,0.03333333333333333,1,0.625692460352015,,,871.0989960202025,,,0.4026013079051183,,,0.6022213341432674,0.9288093224438948,-0.3265879883006274
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,10,none,recover,8,mean_pool,1,0.03333333333333333,1,0.9012112540585375,,,642.3764353676017,,,0.5942937079364338,,,0.8467377252372738,0.9282308268425462,-0.08149310160527246
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,10,none,recover,15,last_token,1,0.03333333333333333,1,0.6154055270704535,,,3015.857644247825,,,0.6225049519007736,,,0.7763805748745659,0.9460205541878125,-0.1696399793132466
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,10,none,recover,15,mean_pool,1,0.03333333333333333,1,0.8872575227370291,,,2340.5226454141757,,,0.7362578977391738,,,0.9057230763091828,0.951632186907318,-0.04590911059813518
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,10,none,recover,23,last_token,1,0.03333333333333333,1,0.38458371481240755,,,18350.544821278392,,,0.7480813068219775,,,0.8322652960282826,0.9720975351045306,-0.13983223907624798
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16_step_010,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,10,none,recover,23,mean_pool,1,0.03333333333333333,1,0.8812826824629253,,,14226.337422400291,,,0.8440262582270153,,,0.95723175416575,0.9613965552959158,-0.004164801130165818
