event_type,failure_category,n_events,n_nearby_belief_shifts,n_belief_shifts_leading,n_belief_shifts_coinciding,n_belief_shifts_lagging,n_persistent_belief_error_onsets
action_identity_change_without_optimality_change,backtrack,6,0,0,0,0,0
action_identity_change_without_optimality_change,none,5,0,0,0,0,0
suboptimal_to_optimal_recovery,backtrack,2,11,4,3,4,5
suboptimal_to_optimal_recovery,none,4,22,8,5,9,5
suboptimal_to_optimal_recovery,short_loop,3,20,8,5,7,7
sustained_optimal_to_suboptimal,backtrack,1,6,3,0,3,3
transient_optimal_to_suboptimal,backtrack,1,5,3,0,2,2
transient_optimal_to_suboptimal,none,2,19,5,4,10,4
transient_optimal_to_suboptimal,short_loop,2,19,8,4,7,7
