event_family,belief_a,belief_b,n_events_with_pair,event_coverage,n_occurrences
suboptimal_to_optimal,wall_down,wall_left,2,0.2222222222222222,2
suboptimal_to_optimal,door_open,wall_up,1,0.1111111111111111,1
optimal_to_suboptimal,door_open,wall_down,1,0.16666666666666666,1
suboptimal_to_optimal,door_open,wall_down,1,0.1111111111111111,1
