model_name,outcome,term,coefficient,std_error,ci_95_low,ci_95_high,z_value,p_value,odds_ratio,odds_ratio_ci_95_low,odds_ratio_ci_95_high,n,events,non_events,converged,model_warning
action_change_next_main,action_change_next,Intercept,-0.5639599359486799,0.34977444915476813,-1.2495178562920253,0.12159798439466563,-1.6123531530433173,0.10688511292777703,0.568951585228017,0.28664296665147193,1.1293000142824583,249,26,223,True,
action_change_next_main,action_change_next,reasoning_progress,-4.532206991137249,1.2607306343370277,-7.003239034437824,-2.0611749478366748,-3.594905103198806,0.0003245098399905328,0.010756909452204323,0.0009089331267381998,0.12730430606942875,249,26,223,True,
action_change_next_main,action_change_next,action_entropy_bits,-208009.31531678053,394654.3981440943,-981531.9356792052,565513.3050456443,-0.5270670143167471,0.5981470521704992,,,,249,26,223,True,
action_change_next_main,action_change_next,state_belief_entropy_per_0p01_bits,-1.431158403073218,3.720907913333544,-8.724137913206963,5.8618211070605275,-0.3846261279256035,0.7005144333369449,0.2390318665548413,0.00016261291870002282,351.3634321642827,249,26,223,True,
action_change_next_main,action_change_next,primary_belief_error_rate,-0.7816947151988451,2.515130794342759,-5.711351072110653,4.147961641712963,-0.3107968448229801,0.7559550684522663,0.45762980158360567,0.003308199907520925,63.30483076954917,249,26,223,True,
action_change_next_main,action_change_next,chosen_action_conflicts_with_reported_state,0.5359776037678872,0.645038517830296,-0.7282978911794928,1.8002530987152672,0.8309234083737279,0.40601689884580683,1.7091182662671907,0.4827299501163622,6.051178816197418,249,26,223,True,
optimality_loss_next_compact,optimality_loss_next,Intercept,-2.7743572614716348,0.6851808735679584,-4.1173117736648335,-1.4314027492784362,-4.049087428586059,5.1417735232505594e-05,0.06238956398200888,0.01628824212209199,0.23897346716044818,249,6,243,True,rare event model: only 6 rows in the smaller class; coefficients and p-values are unstable
optimality_loss_next_compact,optimality_loss_next,reasoning_progress,-1.0124288275363493,1.915813600126962,-4.767423483785195,2.742565828712496,-0.5284589416576096,0.5971808371958277,0.3633354279163281,0.008502258169363112,15.52677307010427,249,6,243,True,rare event model: only 6 rows in the smaller class; coefficients and p-values are unstable
optimality_loss_next_compact,optimality_loss_next,action_entropy_bits,-4.1493084320601754e-05,406318.72092196165,-796384.6930485379,796384.6929655517,-1.0211954848265777e-10,0.9999999999185204,0.9999585077765055,,,249,6,243,True,rare event model: only 6 rows in the smaller class; coefficients and p-values are unstable
optimality_loss_next_compact,optimality_loss_next,state_belief_entropy_per_0p01_bits,-0.3432788858571718,1.9923618215532792,-4.2483080561016,3.5617502843872555,-0.17229746231010679,0.8632036793035127,0.7094403310936102,0.01428838862097346,35.22479663266053,249,6,243,True,rare event model: only 6 rows in the smaller class; coefficients and p-values are unstable
optimality_loss_next_compact,optimality_loss_next,primary_belief_error_rate,-5.431939332375936,5.242540158052582,-15.707318042158997,4.843439377407124,-1.036127367385529,0.3001427261108308,0.004374603760179851,1.507989955567498e-07,126.90507644248767,249,6,243,True,rare event model: only 6 rows in the smaller class; coefficients and p-values are unstable
optimality_recovery_next_compact,optimality_recovery_next,Intercept,-2.113189189958376,0.5524513785164561,-3.19599389185063,-1.030384488066122,-3.8251134346575433,0.00013071188714143276,0.12085193142493927,0.04092582930745854,0.3568697220382654,249,9,240,True,rare event model: only 9 rows in the smaller class; coefficients and p-values are unstable
optimality_recovery_next_compact,optimality_recovery_next,reasoning_progress,-5.364054450360259,1.9592129543338515,-9.204111840854608,-1.52399705986591,-2.7378618738176326,0.006184004297393016,0.004681885103037709,0.00010062479687565569,0.21783942724509042,249,9,240,True,rare event model: only 9 rows in the smaller class; coefficients and p-values are unstable
optimality_recovery_next_compact,optimality_recovery_next,action_entropy_bits,-1245588.6405780346,4761827.140921273,-10578769.836783731,8087592.555627662,-0.26157787834714424,0.793646900854366,,,,249,9,240,True,rare event model: only 9 rows in the smaller class; coefficients and p-values are unstable
optimality_recovery_next_compact,optimality_recovery_next,state_belief_entropy_per_0p01_bits,-8.905751688959022,18.276609998233777,-44.727907285497224,26.91640390757918,-0.4872759056422203,0.6260628200959595,0.00013560671148454465,3.7576530526251825e-20,489379406297.381,249,9,240,True,rare event model: only 9 rows in the smaller class; coefficients and p-values are unstable
optimality_recovery_next_compact,optimality_recovery_next,primary_belief_error_rate,6.240523767298746,2.9613336820415346,0.43630975049733856,12.044737784100153,2.10733555800998,0.03508850321146498,513.1271998188253,1.54698790081553,170201.41079002895,249,9,240,True,rare event model: only 9 rows in the smaller class; coefficients and p-values are unstable
